leftDeltaDistance,rightDeltaDistance,leftSpeed,rightSpeed,time,P,I,D
448,88.4,10,50,85.64608,314.35392,485.64608,0
449,70.2,10,50,67.444582,332.555418,467.444582,0
450,106.6,10,50,103.842308,296.157692,503.842308,0
451,59.8,10,50,57.041033,342.958967,457.041033,0
452,75.4,10,50,72.639424,327.360576,472.639424,0
453,117,10,50,114.236928,285.763072,514.236928,0
454,153.4,10,50,150.633655,249.366345,550.633655,0
455,111.8,10,50,109.03127,290.96873,509.03127,0
456,130,10,50,127.228497,272.771503,527.228497,0
457,67.6,10,50,64.827055,335.172945,464.827055,0
458,93.6,10,50,90.825058,309.174942,490.825058,0
459,124.8,10,50,122.022396,277.977604,522.022396,0
460,46.8,10,50,44.021397,355.978603,444.021397,0
461,93.6,10,50,90.819401,309.180599,490.819401,0
462,91,10,50,88.217459,311.782541,488.217459,0
463,104,10,50,101.215241,298.784759,501.215241,0
464,70.2,10,50,67.413743,332.586257,467.413743,0
465,20.8,10,50,18.013299,381.986701,418.013299,0
466,36.4,10,50,33.612523,366.387477,433.612523,0
467,130,10,50,127.209749,272.790251,527.209749,0
468,75.4,10,50,72.608141,327.391859,472.608141,0
469,7.8,10,50,5.007974,394.992026,405.007974,0
470,137.8,10,50,135.005035,264.994965,535.005035,0
471,78,10,50,75.203371,324.796629,475.203371,0
472,109.2,10,50,106.401041,293.598959,506.401041,0
473,75.4,10,50,72.599433,327.400567,472.599433,0
474,132.6,10,50,129.796604,270.203396,529.796604,0
475,2.6,10,50,-0.203452,400.203452,399.796548,0
476,156,10,50,153.19322,246.80678,553.19322,0
477,70.2,10,50,67.391723,332.608277,467.391723,0
478,135.2,10,50,132.388838,267.611162,532.388838,0
479,101.4,10,50,98.586675,301.413325,498.586675,0
480,80.6,10,50,77.784956,322.215044,477.784956,0
481,59.8,10,50,56.98368,343.01632,456.98368,0
482,96.2,10,50,93.381628,306.618372,493.381628,0
483,104,10,50,101.179409,298.820591,501.179409,0
484,2.6,10,50,-0.220646,400.220646,399.779354,0
485,88.4,10,50,85.577468,314.422532,485.577468,0
486,88.4,10,50,85.575582,314.424418,485.575582,0
487,33.8,10,50,30.974861,369.025139,430.974861,0
488,166.4,10,50,163.571311,236.428689,563.571311,0
489,161.2,10,50,158.367872,241.632128,558.367872,0
490,236.6,10,50,233.762825,-233.762825,233.762825,0
491,340.6,10,50,337.755558,-337.755558,337.755558,0
492,208,10,50,205.151121,-205.151121,205.151121,0
493,241.8,10,50,238.945963,-238.945963,238.945963,0
494,124.8,10,50,121.9433,278.0567,521.9433,0
495,213.2,10,50,210.338752,-210.338752,210.338752,0
496,244.4,10,50,241.533538,-241.533538,241.533538,0
497,223.6,10,50,220.728768,-220.728768,220.728768,0
498,257.4,10,50,254.523277,-254.523277,254.523277,0
499,327.6,10,50,324.716288,-324.716288,324.716288,0
500,317.2,10,50,314.309521,-314.309521,314.309521,0
501,361.4,10,50,358.501811,-358.501811,358.501811,0
502,306.8,10,50,303.895266,-303.895266,303.895266,0
503,280.8,10,50,277.889276,-277.889276,277.889276,0
504,353.6,10,50,350.681732,-350.681732,350.681732,0
505,213.2,10,50,210.277184,-210.277184,210.277184,0
506,257.4,10,50,254.471693,-254.471693,254.471693,0
